Âge	F	H	mortalité pour 100 000
0	290	354
1	56	62
2	21	24
3	13	18
4	11	14
5	9	12
6	8	11
7	7	9
8	7	8
9	7	8
10	7	8
11	7	8
12	7	9
13	8	10
14	9	13
15	11	17
16	13	22
17	14	30
18	17	39
19	19	48
20	21	55
21	21	59
22	21	61
23	22	64
24	22	66
25	23	70
26	23	71
27	25	74
28	27	76
29	29	78
30	31	80
31	33	83
32	34	86
33	37	91
34	39	95
35	42	100
36	48	105
37	54	113
38	60	125
39	66	136
40	72	148
41	79	161
42	87	175
43	99	197
44	112	215
45	125	236
46	138	263
47	151	293
48	172	321
49	182	354
50	199	389
51	220	424
52	234	463
53	253	512
54	277	570
55	296	640
56	323	694
57	349	767
58	374	834
59	404	886
60	423	979
61	456	1032
62	478	1102
63	517	1181
64	540	1244
65	590	1319
66	617	1390
67	659	1471
68	713	1590
69	775	1693
70	860	1830
71	921	1952
72	1027	2102
73	1135	2298
74	1225	2461
75	1378	2692
76	1553	2954
77	1727	3284
78	1929	3612
79	2201	4089
80	2550	4536
81	2942	5103
82	3368	5772
83	3894	6465
84	4516	7326
85	5250	8269
86	6088	9361
87	7069	10557
88	8063	11953
89	9307	13317
90	10678	14814
91	12214	16554
92	13901	18387
93	15723	20313
94	17750	22524
95	19759	24750
96	22088	26700
97	24416	28837
98	26814	31396
99	28892	33844
100	31218	34473
101	34290	35937
102	36204	38204
103	38566	40566
104	39808	41808
